qualification_index,task_id,candidate_id,candidate_source_sha256,generation_seed,generation_attempt_count,reviewer_seed,experiment_id,visible_passed_count,visible_failed_count,hidden_passed_count,hidden_failed_count,benchmark_pass,raw_confidence_a_1,raw_confidence_a_2,raw_confidence_a_3,mean_confidence_a,predicted_pass_count_a,mean_latency_seconds_a,mean_input_tokens_a,mean_output_tokens_a,raw_confidence_b_1,raw_confidence_b_2,raw_confidence_b_3,mean_confidence_b,predicted_pass_count_b,mean_latency_seconds_b,mean_input_tokens_b,mean_output_tokens_b,raw_confidence_c_1,raw_confidence_c_2,raw_confidence_c_3,mean_confidence_c,predicted_pass_count_c,mean_latency_seconds_c,mean_input_tokens_c,mean_output_tokens_c,b_minus_a,c_minus_b,adjudication_status,adjudication_source,specification_correct,eligible_for_primary_analysis,exclusion_reason
0,json_parser,ab7b6fd3-b9c8-4d2b-b928-328031a1900c,bbf2718175ab34e3bbf4c7367dc734eec4dd4388957d700ad020c1dbac23a2a4,42,1,1000,b99f0d4a-4c61-4222-b5d6-e47ab69a21cc,45,0,175,3,False,89,82,90,87.0,3,19.953098860996153,4823.0,1954.3333333333333,92,93,84,89.66666666666667,3,22.327012194000417,4833.0,2017.0,92,80,84,85.33333333333333,3,18.602031875324126,4891.0,1906.3333333333333,2.6666666666666714,-4.333333333333343,benchmark_mismatch,recorded_adjudication,True,False,"benchmark_mismatch: all 3 failing hidden tests expect NaN/Infinity/-Infinity to be accepted, contradicting the specification's explicit 'No Infinity, NaN, or hex.' rule"
1,package_resolver,13ea7965-e450-4375-8b6b-383b9a06ad16,fd15febedc86fef5a70a630170e650dd62d4a1b193b567e4a6a5d4b50a408b3f,43,1,1001,51c9117f-c691-4670-9b79-d7b5565621b5,32,0,48,2,False,24,12,15,17.0,0,15.492717041653426,6144.0,1590.3333333333333,12,22,25,19.666666666666668,0,18.117300847001996,6154.0,1818.3333333333333,38,15,5,19.333333333333332,0,20.769657694666723,6212.0,2043.6666666666667,2.666666666666668,-0.3333333333333357,ambiguous,recorded_adjudication,,False,"ambiguous: both failing hidden tests are the protocol's documented mutual/already-resolved circular-dependency case, with no other failure cause"
2,json_parser,3733f318-24ce-4ac0-935d-5af119fcae0a,85f43b04df3668439b9b2c2f0d32ea5473a3b84998478ec842ecfe3cc9726411,44,1,1002,0784a40d-8d1d-4ba6-98b2-2418fea4628b,45,0,173,5,False,91,92,93,92.0,3,20.178917902997153,4589.0,1932.3333333333333,92,90,91,91.0,3,19.62868327833712,4599.0,1864.0,92,91,86,89.66666666666667,3,17.942123430674354,4657.0,1752.0,-1.0,-1.3333333333333286,ambiguous,recorded_adjudication,,False,ambiguous: failures mix an explicit NaN/Infinity specification contradiction with underspecified unpaired-surrogate handling; no clear specification violation exists
3,package_resolver,322b30c0-f547-46c3-8948-8315c25bcb55,d88ae93052f2ad0bf574e51721db9798b2ee7a13267849061efaeaea57b962f2,45,1,1003,127714c5-490e-486a-b572-b83553696867,32,0,46,4,False,22,22,38,27.333333333333332,0,17.180762027661938,6070.0,1731.6666666666667,30,28,38,32.0,0,19.325186819332885,6080.0,1881.3333333333333,32,32,38,34.0,0,15.277267903002212,6138.0,1685.0,4.666666666666668,2.0,valid_failure,recorded_adjudication,False,True,
4,json_parser,6545b0df-e7d8-48f6-8446-aa34ee202cf0,adb1dd17ed5eb13406d1e8671cd7fbb4bb2998debf4c781764b7cbf22ff856a9,46,1,1004,538fcf89-f578-40f8-8790-7634229150ea,45,0,174,4,False,88,91,88,89.0,3,16.720439888672747,4635.0,1477.0,88,91,92,90.33333333333333,3,17.568512597325025,4645.0,1859.6666666666667,88,87,86,87.0,3,20.3112819303351,4703.0,1903.6666666666667,1.3333333333333286,-3.3333333333333286,ambiguous,recorded_adjudication,,False,ambiguous: failures mix an explicit NaN/Infinity specification contradiction with underspecified unpaired-surrogate handling; no clear specification violation exists
5,package_resolver,8ea9f510-f39f-4813-92ea-67ca9086a1c4,162382e117101f2a5e22cf23da45f7ce731b82659a8f2e6a6e0753770ed08a0e,47,1,1005,4057fe64-5d9e-4015-8605-fc807500dc9d,32,0,47,3,False,40,32,42,38.0,0,18.376668805343797,6108.0,1819.0,38,58,38,44.666666666666664,1,14.196998860987756,6118.0,1640.3333333333333,28,30,38,32.0,0,21.942161680335023,6176.0,2108.0,6.666666666666664,-12.666666666666664,valid_failure,recorded_adjudication,False,True,
6,json_parser,61ddc7e6-26b6-4e99-a473-2164ee61531a,e94419a68f17784271bbdb364b688d2891461db3533abafeb03ca01e6d959b1d,48,1,1006,7e78b3b5-b927-41d2-91b4-6eed23c2c21b,45,0,173,5,False,97,95,97,96.33333333333333,3,14.492496611007178,4682.0,1358.0,97,97,96,96.66666666666667,3,15.85169004133786,4692.0,1667.6666666666667,96,96,93,95.0,3,18.024727445008466,4750.0,1974.3333333333333,0.3333333333333428,-1.6666666666666714,ambiguous,recorded_adjudication,,False,ambiguous: failures mix an explicit NaN/Infinity specification contradiction with underspecified unpaired-surrogate handling; no clear specification violation exists
7,package_resolver,7c51e80d-4277-4d29-ac1b-c288eb698343,8e4410345b1bb90f60e71de14ed17b5015e0ef2833ab4ae722c020ad76c0d7d2,49,1,1007,5d15a758-baf6-429d-a3d6-b9837e4ca86b,32,0,46,4,False,86,88,86,86.66666666666667,3,23.12100173633856,6131.0,2245.6666666666665,83,82,12,59.0,2,16.57483759732956,6141.0,1788.3333333333333,35,88,88,70.33333333333333,2,20.943266971987516,6199.0,2453.0,-27.66666666666667,11.333333333333329,valid_failure,recorded_adjudication,False,True,
8,json_parser,fb4047ae-2e7a-4948-af41-49bff81eb9e2,a8cfee74ed707fa1efaec5e451db5f0fbf921335ca61309723618d7d607789f2,50,2,1008,e94ab5e7-d79d-44e6-b0cc-84695c58071e,45,0,173,5,False,96,96,96,96.0,3,14.583381805665946,4884.0,1516.0,96,98,96,96.66666666666667,3,11.417176194653925,4894.0,1124.6666666666667,97,97,91,95.0,3,18.57887618066161,4952.0,1660.3333333333333,0.6666666666666714,-1.6666666666666714,ambiguous,recorded_adjudication,,False,ambiguous: failures mix an explicit NaN/Infinity specification contradiction with underspecified numeric-overflow handling; no clear specification violation exists
9,package_resolver,60ec7166-e217-4d54-ac8d-8aae32ae4970,ba50d35b56c3340b85398c36d79d1143bc90644abdd7a479789504d50d363e52,51,1,1009,d3dd574f-5c61-4fb5-86e7-401a6393a89d,32,0,47,3,False,72,78,84,78.0,3,25.308325222344138,5939.0,2428.0,62,30,30,40.666666666666664,1,23.21445840301264,5949.0,2242.0,62,30,90,60.666666666666664,2,24.787493471997248,6007.0,2482.3333333333335,-37.333333333333336,20.0,ambiguous,recorded_adjudication,,False,"ambiguous: all failures are the documented circular-dependency ambiguity or the related optional-vs-conflict interaction, neither resolved by the written spec"
