scope,task_id,condition,candidate_count,mean_confidence,predicted_pass_count,predicted_pass_rate,mean_latency_seconds,mean_input_tokens,mean_output_tokens
full_cohort,ALL,A_NO_RESULT,12,69.52777777777779,25,0.6944444444444444,18.94765487844658,5391.75,1820.1666666666667
full_cohort,ALL,B_VISIBLE_PASS,12,68.63888888888889,25,0.6944444444444444,18.314504503443864,5401.75,1826.1944444444443
full_cohort,ALL,C_ADVERSARIAL,12,67.58333333333333,23,0.6388888888888888,20.132577024416403,5459.75,2034.861111111111
full_cohort,json_parser,A_NO_RESULT,6,91.3888888888889,18,1.0,17.29263637033485,4716.666666666667,1654.611111111111
full_cohort,json_parser,B_VISIBLE_PASS,6,92.6111111111111,18,1.0,17.252369328665534,4726.666666666667,1647.1666666666667
full_cohort,json_parser,C_ADVERSARIAL,6,90.1111111111111,18,1.0,19.51240491455731,4784.666666666667,1914.6666666666667
full_cohort,package_resolver,A_NO_RESULT,6,47.666666666666664,7,0.3888888888888889,20.60267338655831,6066.833333333333,1985.722222222222
full_cohort,package_resolver,B_VISIBLE_PASS,6,44.666666666666664,7,0.3888888888888889,19.376639678222194,6076.833333333333,2005.222222222222
full_cohort,package_resolver,C_ADVERSARIAL,6,45.05555555555555,5,0.2777777777777778,20.752749134275494,6134.833333333333,2155.0555555555557
primary_eligible,ALL,A_NO_RESULT,4,47.75,4,0.3333333333333333,20.703749513838073,6079.5,1974.0
primary_eligible,ALL,B_VISIBLE_PASS,4,51.916666666666664,6,0.5,18.73201970482963,6089.5,1992.75
primary_eligible,ALL,C_ADVERSARIAL,4,47.58333333333333,3,0.25,19.739835909747246,6147.5,2101.0833333333335
primary_eligible,json_parser,A_NO_RESULT,0,,0,,,,
primary_eligible,json_parser,B_VISIBLE_PASS,0,,0,,,,
primary_eligible,json_parser,C_ADVERSARIAL,0,,0,,,,
primary_eligible,package_resolver,A_NO_RESULT,4,47.75,4,0.3333333333333333,20.703749513838073,6079.5,1974.0
primary_eligible,package_resolver,B_VISIBLE_PASS,4,51.916666666666664,6,0.5,18.73201970482963,6089.5,1992.75
primary_eligible,package_resolver,C_ADVERSARIAL,4,47.58333333333333,3,0.25,19.739835909747246,6147.5,2101.0833333333335
